date,10y,2s10s,1y10y_vol,FNCC,G2CC
2023-11-09,4.62802066333472,-0.39321523507260014,116.256106458302,175.67999999999998,170.3
2023-11-10,4.62702989695267,-0.4331629238212207,117.416553048047,167.19,156.82
2023-11-13,4.63099352434734,-0.40802613351338035,118.949249282197,166.64000000000001,156.22
2023-11-14,4.4404638381476,-0.37443793314530005,116.012332766976,160.47,147.70000000000002
2023-11-15,4.53626833700692,-0.3787167856707505,116.042274788661,164.20999999999998,153.48999999999998
2023-11-16,4.44429981835868,-0.3963948250739593,114.850815156238,162.76999999999998,150.28
2023-11-17,4.44031677343654,-0.46541113092510056,114.010007797055,158.7,149.08999999999997
2023-11-20,4.42081637908729,-0.4889744640358602,113.526344029658,158.94,147.95000000000002
2023-11-21,4.41689268956018,-0.46392166020809,112.775074025525,155.91,144.4
2023-11-22,4.41488004460401,-0.4932698502614494,112.135879383433,158.12,145.1
2023-11-24,4.48313823097952,-0.4738552863887193,112.040409503403,161.49,150.92000000000002
2023-11-27,4.38752131396326,-0.46697868624123995,111.187373878444,157.32,143.57
2023-11-28,4.33516418875935,-0.4001051022245896,111.273949627616,157.77,143.27
2023-11-29,4.26958672351399,-0.37691392487159003,111.69590395934,155.95000000000002,139.38
2023-11-30,4.34860931975564,-0.3657087898770994,111.247770149246,156.65,142.13
2023-12-01,4.22328278239933,-0.34197957507278964,112.575128375895,155.42000000000002,136.9
2023-12-04,4.28370379797835,-0.37232356258245947,112.551435528874,153.89,137.0
2023-12-05,4.16869039542236,-0.4070187101438494,112.568013071208,154.85,136.71
2023-12-06,4.1201184560278,-0.48109942404879025,111.218498679834,152.32000000000002,137.27
2023-12-07,4.12761598856708,-0.4502784380851299,111.799476346015,150.39000000000001,134.71
2023-12-08,4.24388562199981,-0.4811561240761604,110.891688265228,148.97,134.31
2023-12-11,4.23805438728912,-0.4867160760736997,110.815478136627,148.76,132.41
2023-12-12,4.2053781587801,-0.5243748025700201,109.682868779484,148.35,133.83
2023-12-13,4.03241801901424,-0.44530623410674064,109.678454310346,138.47,127.42999999999999
2023-12-14,3.92915405924601,-0.46845980607848015,106.92226094623,141.71,129.84
2023-12-15,3.92687989161524,-0.5274406077327001,105.148128640488,146.23,135.78
2023-12-18,3.95479525206531,-0.5010048406546099,104.026313312314,145.60999999999999,136.91
2023-12-19,3.92100577587592,-0.5152089033750595,105.129057700295,144.54,135.23000000000002
2023-12-20,3.8761462608201,-0.4919773296502399,106.820655616401,147.36,138.92
