date,agency,coupon,price,actual_price_change_points,ct10_yield_pct,ct10_change_bps,ct10_duration,hedge_ratio,implied_price_change_points,actual_price_change_32nds,implied_price_change_32nds,perf_vs_ct10_32nds,perf_vs_tsy_32nds,ct7_yield_pct,ct7_change_bps,ct7_duration,hedge_ratio_7y,implied_price_change_ct7_points,implied_price_change_ct7_32nds,perf_vs_ct7_32nds,excel_perf_32nds,difference_vs_excel_ct10_32nds,difference_vs_excel_ct7_32nds,difference_vs_excel_32nds
2026-03-04,FN,4.0,96.328125,-0.14843799999999874,4.081425551843665,2.4933582332913318,7.8,0.746,-0.145083528878756,-4.75001599999996,-4.642672924120192,-0.10734307587976755,-0.10734307587976755,3.8624994466955913,3.355596500842273,5.8,1.0032413793103447,-0.19525544919101015,-6.248174374112325,1.4981583741123652,-0.2888876715684221,0.18154459568865455,1.7870460456807873,0.18154459568865455
2026-03-04,FN,4.5,98.195313,-0.05468700000000126,4.081425551843665,2.4933582332913318,7.8,0.654,-0.12719119019665742,-1.7499840000000404,-4.0701180862930375,2.320134086292997,2.320134086292997,3.8624994466955913,3.355596500842273,5.8,0.8795172413793104,-0.17117568870096603,-5.477622038430913,3.7276380384308725,2.278215941333331,0.04191814495966595,1.4494220970975413,0.04191814495966595
2026-03-04,FN,5.0,100.039063,-0.007812000000001262,4.081425551843665,2.4933582332913318,7.8,0.496,-0.09646304332957505,-0.2499840000000404,-3.0868173865464015,2.836833386546361,2.836833386546361,3.8624994466955913,3.355596500842273,5.8,0.6670344827586207,-0.12982131742458583,-4.154282157586747,3.904298157586706,2.7415996110017216,0.09523377554463952,1.1626985465849846,0.09523377554463952
2026-03-04,FN,5.5,101.382813,-0.007812000000001262,4.081425551843665,2.4933582332913318,7.8,0.315,-0.061261811791968025,-0.2499840000000404,-1.9603779773429768,1.7103939773429364,1.7103939773429364,3.8624994466955913,3.355596500842273,5.8,0.4236206896551724,-0.08244700602569464,-2.6383041928222286,2.388320192822188,1.6307399653977184,0.07965401194521804,0.7575802274244698,0.07965401194521804
2026-03-04,FN,6.0,102.429688,-0.023437000000001262,4.081425551843665,2.4933582332913318,7.8,0.135,-0.026255062196557724,-0.7499840000000404,-0.8401619902898472,0.09017799028980678,0.09017799028980678,3.8624994466955913,3.355596500842273,5.8,0.18155172413793105,-0.03533443115386914,-1.1307017969238125,0.38071779692377206,0.31802299741998014,-0.22784500713017336,0.06269479950379192,-0.22784500713017336
2026-03-04,FN,6.5,103.703125,-0.03906299999999874,4.081425551843665,2.4933582332913318,7.8,0.064,-0.012446844300590329,-1.2500159999999596,-0.3982990176188905,-0.8517169823810691,-0.8517169823810691,3.8624994466955913,3.355596500842273,5.8,0.08606896551724139,-0.016751137732204626,-0.536036407430548,-0.7139795925694116,-0.4118759107882912,-0.43984107159277785,-0.30210368178112035,-0.43984107159277785
2026-03-04,G2,3.0,90.789063,-0.14843700000000126,4.081425551843665,2.4933582332913318,7.8,0.749,-0.14566697470534617,-4.74998400000004,-4.661343190571078,-0.0886408094289628,-0.0886408094289628,3.8624994466955913,3.355596500842273,5.8,1.0072758620689655,-0.19604065877220725,-6.273301080710632,1.5233170807105916,0.0978608924418448,-0.1865017018708076,1.4254561882687469,-0.1865017018708076
2026-03-04,G2,3.5,93.101563,-0.11718700000000126,4.081425551843665,2.4933582332913318,7.8,0.783,-0.1522793607400348,-3.7499840000000404,-4.872939543681114,1.1229555436810736,1.1229555436810736,3.8624994466955913,3.355596500842273,5.8,1.0530000000000002,-0.204939700692441,-6.558070422158112,2.8080864221580715,-0.0142398946475648,1.1371954383286385,2.8223263168056363,1.1371954383286385
2026-03-04,G2,4.0,95.375,-0.11718799999999874,4.081425551843665,2.4933582332913318,7.8,0.746,-0.145083528878756,-3.7500159999999596,-4.642672924120192,0.8926569241202325,0.8926569241202325,3.8624994466955913,3.355596500842273,5.8,1.0032413793103447,-0.19525544919101015,-6.248174374112325,2.498158374112365,0.9736122948050592,-0.08095537068482672,1.524546079307306,-0.08095537068482672
2026-03-04,G2,4.5,98.164063,-0.046875,4.081425551843665,2.4933582332913318,7.8,0.641,-0.12466292494810001,-1.5,-3.9892135983392003,2.4892135983392003,2.4892135983392003,3.8624994466955913,3.355596500842273,5.8,0.8620344827586207,-0.16777311384911195,-5.368739643171582,3.8687396431715824,2.3167836289181696,0.17242996942103073,1.5519560142534128,0.17242996942103073
