date,ct10_yield_pct,ct10_change_bps,fn_3.5_fly_level_32nds,fn_3.5_fly_change_32nds,fn_3.5_fly_change_32nds_corr_20d,fn_3.5_fly_change_32nds_corr_40d,fn_3.5_fly_change_32nds_corr_60d,fn_4_fly_level_32nds,fn_4_fly_change_32nds,fn_4_fly_change_32nds_corr_20d,fn_4_fly_change_32nds_corr_40d,fn_4_fly_change_32nds_corr_60d,fn_4.5_fly_level_32nds,fn_4.5_fly_change_32nds,fn_4.5_fly_change_32nds_corr_20d,fn_4.5_fly_change_32nds_corr_40d,fn_4.5_fly_change_32nds_corr_60d,fn_5_fly_level_32nds,fn_5_fly_change_32nds,fn_5_fly_change_32nds_corr_20d,fn_5_fly_change_32nds_corr_40d,fn_5_fly_change_32nds_corr_60d,fn_5.5_fly_level_32nds,fn_5.5_fly_change_32nds,fn_5.5_fly_change_32nds_corr_20d,fn_5.5_fly_change_32nds_corr_40d,fn_5.5_fly_change_32nds_corr_60d,fn_6_fly_level_32nds,fn_6_fly_change_32nds,fn_6_fly_change_32nds_corr_20d,fn_6_fly_change_32nds_corr_40d,fn_6_fly_change_32nds_corr_60d,g2_3.5_fly_level_32nds,g2_3.5_fly_change_32nds,g2_3.5_fly_change_32nds_corr_20d,g2_3.5_fly_change_32nds_corr_40d,g2_3.5_fly_change_32nds_corr_60d,g2_4_fly_level_32nds,g2_4_fly_change_32nds,g2_4_fly_change_32nds_corr_20d,g2_4_fly_change_32nds_corr_40d,g2_4_fly_change_32nds_corr_60d,g2_4.5_fly_level_32nds,g2_4.5_fly_change_32nds,g2_4.5_fly_change_32nds_corr_20d,g2_4.5_fly_change_32nds_corr_40d,g2_4.5_fly_change_32nds_corr_60d,g2_5_fly_level_32nds,g2_5_fly_change_32nds,g2_5_fly_change_32nds_corr_20d,g2_5_fly_change_32nds_corr_40d,g2_5_fly_change_32nds_corr_60d,g2_5.5_fly_level_32nds,g2_5.5_fly_change_32nds,g2_5.5_fly_change_32nds_corr_20d,g2_5.5_fly_change_32nds_corr_40d,g2_5.5_fly_change_32nds_corr_60d,g2_6_fly_level_32nds,g2_6_fly_change_32nds,g2_6_fly_change_32nds_corr_20d,g2_6_fly_change_32nds_corr_40d,g2_6_fly_change_32nds_corr_60d
2025-12-18,4.114838505340873,-3.5079842718602094,43.49996800000008,-1.0,0.1379663184992572,-0.08763717253958883,-0.08693949084304516,-5.499968000000081,0.2500159999999596,-0.3689016180050935,-0.3210449592851293,-0.27531238092385,19.24998400000004,1.4999680000000808,-0.8356308568671471,-0.7871369956233019,-0.7858223915162615,16.5,1.0000319999999192,-0.6105876424175742,-0.4777890784098862,-0.4730317016989574,9.74998400000004,-0.5000319999999192,0.28818342613503495,0.39980697975542673,0.4994279986086651,-2.7499840000000404,-2.2499840000000404,0.8069410243847867,0.7423952278911644,0.6519562938238692,-62.74998400000004,-4.499968000000081,-0.1709033897443963,-0.20121215722409386,-0.059571546311545334,4.25001599999996,2.000031999999919,-0.26362410561891125,-0.3428296666163607,-0.3889102257644575,24.49996800000008,2.249952000000121,-0.6911757105937827,-0.6521375853767221,-0.6573119069168332,32.25001599999996,1.0,-0.4251534025667101,-0.20754538126496952,-0.014911824607038373,8.25001599999996,-0.2499520000001212,0.4524341696359614,0.5204238657615059,0.5224613012850596,-13.75001599999996,-4.750047999999879,0.49507072302109445,0.36487163707871845,0.32904032037957803
2025-12-19,4.150020114498223,3.5181609157350024,45.49996800000008,2.0,0.1524455232686141,-0.07034227848550882,-0.0772609260178821,-7.499968000000081,-2.0,-0.4106655015950183,-0.3353287168265673,-0.2978473502717513,19.74998400000004,0.5,-0.7938358031389081,-0.793992740168024,-0.7688408660523156,16.24998400000004,-0.2500159999999596,-0.6182754704839608,-0.489586172026769,-0.47329191997011005,10.00003199999992,0.2500479999998788,0.279470932689736,0.43355585980891553,0.5003608781160459,-2.000031999999919,0.7499520000001212,0.8089054064438368,0.7482266579320928,0.6651456550499832,-63.0,-0.2500159999999596,-0.12528858349083236,-0.19203987053375363,-0.062338943835174174,3.2500159999999596,-1.0,-0.3103467759488611,-0.371235592081415,-0.41824783080735506,24.49996800000008,0.0,-0.6913608940966531,-0.6401747965285,-0.6654734661649807,33.00003199999992,0.7500159999999596,-0.39675218600469764,-0.20390166167148466,-0.03437691456317714,8.74998400000004,0.4999680000000808,0.5495091369943969,0.5271870594961277,0.52272723864573,-14.5,-0.7499840000000404,0.4603925824809213,0.36049106376034024,0.33517235739186396
2025-12-22,4.169617381514055,1.9597267015831754,45.99996800000008,0.5,0.005924078787720484,-0.06265069575639608,-0.063210773470405,-8.24998400000004,-0.7500159999999596,-0.325588459809923,-0.3562476745515501,-0.3157033005352409,19.25001599999996,-0.4999680000000808,-0.7755822529893834,-0.7940724733438062,-0.7664116476609111,16.74998400000004,0.5,-0.661404863921396,-0.46961445680965697,-0.46439121627815544,10.0,-3.199999991920777e-05,0.3433668396082172,0.41430452274057034,0.5018468300106774,-2.0,3.199999991920777e-05,0.7962937431636363,0.7426210118761929,0.6804081237722359,-66.74998400000004,-3.7499840000000404,-0.23859656220656877,-0.21229572690174228,-0.03879724471249115,6.999968000000081,3.749952000000121,-0.16328380679227072,-0.32694894469711894,-0.4261249481346876,23.25001599999996,-1.2499520000001212,-0.6979574928260284,-0.6377785900465714,-0.6640742121305264,34.75001599999996,1.7499840000000404,-0.3285400379033329,-0.1659288580431402,-0.03095951561354942,10.49996800000008,1.7499840000000404,0.5133569902580601,0.5184075376490366,0.5212329161987549,-19.49996800000008,-4.999968000000081,0.43851695255771633,0.32060972400411253,0.3296279734650682
2025-12-23,4.167688600207533,-0.1928781306522076,49.99996800000008,4.0,-0.06112480378530371,-0.07211463027460849,-0.06763475995967151,-9.99996800000008,-1.7499840000000404,-0.2985041226818583,-0.35127898715985906,-0.30465779832886564,19.24998400000004,-3.199999991920777e-05,-0.7618214649652387,-0.7948958009153425,-0.7636951971448459,16.0,-0.7499840000000404,-0.6319266199860295,-0.4871416951744689,-0.4586958480546464,10.0,0.0,0.30941454612786307,0.41683128299876415,0.5239156049749145,-1.2500159999999596,0.7499840000000404,0.8098876196748767,0.7555273790696071,0.6754235360817448,-65.25001599999996,1.4999680000000808,-0.20518724856392836,-0.21443738035129659,-0.04737097640723039,8.0,1.0000319999999192,-0.19862312390939707,-0.33584971072464814,-0.4229571299289487,22.74998400000004,-0.5000319999999192,-0.680735547202673,-0.6422194778561345,-0.6589759547800765,34.25001599999996,-0.5,-0.3208283066685226,-0.16426461078926247,-0.04046840278961381,9.0,-1.4999680000000808,0.5068903063539576,0.5249764644751562,0.5514692653084392,-16.5,2.999968000000081,0.4454108726798902,0.3228401991332022,0.3244672570641346
2025-12-24,4.1325296982580735,-3.5158901949459143,51.00003199999992,1.0000639999998384,-0.12274919398300471,-0.07565727967763557,-0.07297546504507305,-10.25001599999996,-0.2500479999998788,-0.2261867688940029,-0.35845552231245137,-0.29948791554319376,20.0,0.7500159999999596,-0.7699420662104524,-0.797435307515492,-0.7696835467026636,16.5,0.5,-0.6090137370764214,-0.4994954855039649,-0.47590144424638187,10.24998400000004,0.2499840000000404,0.20305220894042808,0.40003634783530945,0.5109067027002085,-1.2499840000000404,3.199999991920777e-05,0.7685706593933594,0.7469577005184405,0.6691994132452393,-65.24998400000004,3.199999991920777e-05,-0.25359479575474014,-0.218412261547711,-0.05365639169352983,10.25001599999996,2.2500159999999596,-0.14995473890256156,-0.3626472479595459,-0.43316195952565717,21.74998400000004,-1.0,-0.6132638682192469,-0.626749483860598,-0.6444457420752893,35.5,1.2499840000000404,-0.34614811701112014,-0.1792897406472045,-0.07881534187927748,7.74998400000004,-1.2500159999999596,0.4965033435559806,0.538916290604974,0.5734869744944691,-14.24998400000004,2.2500159999999596,0.37561785219823335,0.2929758181566296,0.3032047368051954
2025-12-26,4.132597971452548,0.00682731944747772,51.24998400000004,0.2499520000001212,-0.11064100139871715,-0.05256392400863063,-0.07387977433041835,-10.99996800000008,-0.7499520000001212,-0.23441181414700504,-0.4075677522054327,-0.29902784650549435,19.99996800000008,-3.199999991920777e-05,-0.7712226969238095,-0.7959539191279564,-0.7807171934198938,16.75001599999996,0.2500159999999596,-0.6409341978307999,-0.4975301929762875,-0.4620213542268707,10.5,0.2500159999999596,0.226502732165997,0.3983373545340596,0.4940345620442897,-0.5,0.7499840000000404,0.7551504471902305,0.7423528321222873,0.6763595702231694,-65.0,0.2499840000000404,-0.24867440886485806,-0.2311985904501168,-0.05339999621310891,9.5,-0.7500159999999596,-0.1676489361615149,-0.3640067808089195,-0.42066142432037795,22.0,0.2500159999999596,-0.6204264690685787,-0.6357818033433542,-0.6462620268126225,35.5,0.0,-0.3712704104385598,-0.17746357410661498,-0.10886478157645486,7.24998400000004,-0.5,0.49404593722950285,0.5420954765130256,0.5894487584710048,-12.24998400000004,2.0,0.37311667849275554,0.28883977541105565,0.3024044017969454
2025-12-29,4.115039772259669,-1.7558199192879265,50.75001599999996,-0.4999680000000808,-0.06989428984568304,-0.016374859380179376,-0.06558773693675252,-10.25001599999996,0.7499520000001212,-0.2656317027476133,-0.3707518980120134,-0.3028502105258835,20.24998400000004,0.2500159999999596,-0.7703795813392124,-0.7808822512250796,-0.7805731957402646,17.25001599999996,0.5,-0.6519908812605673,-0.4862725396037167,-0.46668023042979173,11.25001599999996,0.7500159999999596,0.13823258043438794,0.32717511557653917,0.4780440931368837,-1.7500159999999596,-1.2500159999999596,0.7636155328867436,0.70449023542574,0.6809728401851343,-69.24998400000004,-4.24998400000004,-0.19361806625327285,-0.1841237778117095,-0.04006191077827005,10.24998400000004,0.7499840000000404,-0.16993591570166955,-0.32242237008738844,-0.4208394174939365,24.0,2.0,-0.6285385420081263,-0.6299659484589717,-0.6472443578634608,36.74998400000004,1.2499840000000404,-0.38537160877050664,-0.20531908565612278,-0.12212986466369397,7.500031999999919,0.2500479999998788,0.4745815164656101,0.5077402944757077,0.5864907013230702,-16.25001599999996,-4.000031999999919,0.39031228917326205,0.31386326400323006,0.30937515660003595
2025-12-30,4.126779300328056,1.173952806838674,50.24998400000004,-0.5000319999999192,0.07930451528190957,0.013897920314389406,-0.07726515254838509,-10.0,0.2500159999999596,-0.22885927788298646,-0.37181539003484515,-0.2957963409331746,20.24998400000004,0.0,-0.7609674170507605,-0.7847117244395065,-0.7730076514729619,16.50003199999992,-0.7499840000000404,-0.611819941691237,-0.5042522268227728,-0.4584408292412822,11.49996800000008,0.2499520000001212,0.00950439591400526,0.324715987163846,0.4655682847402447,-0.2499840000000404,1.5000319999999192,0.6860048949643974,0.7301426108359408,0.6726065718367253,-71.75001599999996,-2.500031999999919,-0.10332914513817562,-0.20285650444794812,-0.05040208170447054,10.0,-0.2499840000000404,-0.12171794765400924,-0.2898756295450031,-0.4208736729575295,24.74998400000004,0.7499840000000404,-0.525993662586146,-0.621091843689034,-0.6317792672494357,36.50003199999992,-0.2499520000001212,-0.44899165816581765,-0.2619612973643212,-0.13490380964225746,6.999968000000081,-0.5000639999998384,0.43638613760371275,0.5216714592873948,0.5680898898655222,-17.74998400000004,-1.4999680000000808,0.3422475397128206,0.31260669200974445,0.3124891746834536
2025-12-31,4.152274045076331,2.549474474827562,49.24998400000004,-1.0,0.00952036999884691,0.0019413261044167274,-0.08963433170774625,-9.25001599999996,0.7499840000000404,-0.16617825581715098,-0.3512924969359942,-0.2877129404654111,19.50003199999992,-0.7499520000001212,-0.7640466545740827,-0.7954800267418375,-0.7818446367664094,16.24998400000004,-0.2500479999998788,-0.6640185182128191,-0.5046758412159182,-0.45815672731149987,12.24998400000004,0.7500159999999596,0.050468579346069894,0.33886778059416106,0.4703861361003302,0.2500159999999596,0.5,0.6877581489513178,0.7433560264512035,0.6744826609764955,-77.0,-5.24998400000004,-0.16370616935995902,-0.23005285573881312,-0.09421107931245719,13.0,3.0,-0.04255156470856767,-0.24898695369138663,-0.3854934232550846,22.5,-2.2499840000000404,-0.5440562720406463,-0.6349321351135415,-0.6365812990083558,36.5,-3.199999991920777e-05,-0.44487909269207204,-0.27453501446230455,-0.14150543109154404,8.74998400000004,1.7500159999999596,0.45950091992956305,0.531406794328423,0.5800156884292752,-17.24998400000004,0.5,0.35307913858843437,0.3143121990976075,0.3117733708770452
2026-01-02,4.187724320360476,3.5450275284144794,49.99996800000008,0.7499840000000404,-0.0354931529434728,0.007196841781724881,-0.07754621212455434,-11.24998400000004,-1.9999680000000808,-0.22966581304073372,-0.37486403170661275,-0.3149431592588528,18.75001599999996,-0.7500159999999596,-0.7418175924759842,-0.7977403881311703,-0.7807170549330897,15.24998400000004,-1.0,-0.6664603233829728,-0.520016885526067,-0.4758926310669104,13.74998400000004,1.5,0.19275850932168598,0.37200728176892306,0.48275374312866853,0.7500159999999596,0.5,0.6673838440923752,0.7483501526435534,0.6764440365630112,-76.75001599999996,0.2499840000000404,-0.08379241178811651,-0.2167218034005382,-0.10222003422256601,11.0,-2.0,-0.15252317494624737,-0.2776734270221496,-0.38956204328620864,20.5,-2.0,-0.5556266688861491,-0.6492063239357558,-0.6491614278963462,36.5,0.0,-0.38623043777283067,-0.2788881997010134,-0.1388445787452523,10.0,1.2500159999999596,0.4362011321985337,0.5420208549379409,0.5922506469109811,-15.75001599999996,1.4999680000000808,0.37132293735971805,0.3217553293674966,0.3232786884552602
2026-01-05,4.162201853557488,-2.5522466802987864,50.5,0.5000319999999192,-0.0297965501032406,0.012160010171609944,-0.044242491475734606,-10.74998400000004,0.5,-0.2118722698698534,-0.38466450683963305,-0.32398085011280087,19.24998400000004,0.4999680000000808,-0.7143752384228989,-0.7978599979045174,-0.7784639367873439,15.5,0.2500159999999596,-0.666502225164387,-0.5339727105417571,-0.4734683255540632,14.24998400000004,0.5,0.14903047561831437,0.3445751128346421,0.46433399717694607,-0.4999680000000808,-1.2499840000000404,0.6426080765087662,0.7552966096264838,0.6878817015098084,-77.49996800000008,-0.7499520000001212,-0.17392661989725813,-0.21863514408248394,-0.08650014227107712,11.74998400000004,0.7499840000000404,-0.06250263346611667,-0.27832206939436316,-0.37780226272493517,22.0,1.5,-0.5373869467586927,-0.6587342727786195,-0.6555887754893305,36.0,-0.5,-0.3853353370968708,-0.2994508897174071,-0.13246959615779755,10.24998400000004,0.2499840000000404,0.38105456735702836,0.54481456737463,0.582718494115691,-16.99996800000008,-1.2499520000001212,0.3644349767495979,0.3285992841339896,0.3251332980373284
2026-01-06,4.17795793699418,1.5756083436691881,52.24998400000004,1.7499840000000404,-0.016774021256917016,0.09054959912728808,-0.03514277887881978,-11.74998400000004,-1.0,-0.2952449195625053,-0.4136921298735102,-0.33388358490408887,18.75001599999996,-0.4999680000000808,-0.6979877821779543,-0.7843494382068343,-0.7796332297402744,15.74998400000004,0.2499840000000404,-0.6243141080316734,-0.5137623108006006,-0.46445346554612144,14.24998400000004,0.0,0.2356840434506707,0.2694912070829015,0.4655760400065552,0.2500159999999596,0.7499840000000404,0.6262944064316974,0.7551367531127906,0.6921475372123375,-74.5,2.999968000000081,-0.18818959297902718,-0.13367164074582033,-0.08037928144452394,9.0,-2.7499840000000404,-0.10739840493556423,-0.3180993510818138,-0.38377493626290776,21.5,-0.5,-0.500449185089053,-0.6434980461020408,-0.6484580107744313,38.24998400000004,2.2499840000000404,-0.41169169780142506,-0.3022372481482554,-0.14176192709597066,5.25001599999996,-4.999968000000081,0.2395524095509421,0.38652486782667156,0.5067960001383164,-14.5,2.499968000000081,0.4082544501070535,0.3636055129798107,0.344767324693488
2026-01-07,4.13675550401814,-4.120243297604009,50.0,-2.2499840000000404,0.21285846228858524,0.17210652526325654,0.005119234824013444,-10.25001599999996,1.4999680000000808,-0.4927860285423984,-0.415006513961707,-0.3565002767476934,19.00003199999992,0.2500159999999596,-0.6728539282472535,-0.769632401479128,-0.7767575404292598,16.74998400000004,1.0,-0.625553758556682,-0.5206785438702042,-0.4822206328045699,14.0,-0.2499840000000404,0.4497401651736306,0.2667486087957139,0.5112418220978083,0.0,-0.2500159999999596,0.7070623234072417,0.720766472314428,0.6880417042590846,-72.0,2.5,-0.2775819896510494,-0.1571056637468646,-0.10384062029280373,7.74998400000004,-1.2500159999999596,0.014658915827305486,-0.22425397114213835,-0.3602003144240036,23.25001599999996,1.7500159999999596,-0.6716385637475091,-0.7019628784494383,-0.6767281336026946,36.75001599999996,-1.4999680000000808,-0.1655225534033381,-0.18624375831837617,-0.1196611534051046,5.24998400000004,-3.199999991920777e-05,0.2791239767643412,0.32631232285825607,0.5038788903574585,-13.0,1.5,0.22450474306118326,0.34290299457813794,0.3294919627034309
2026-01-08,4.181964564081197,4.520906006305658,51.0,1.0,0.18521853642660052,0.1903643222946451,0.016457208745466526,-11.0,-0.7499840000000404,-0.4595520395729747,-0.43553373815990815,-0.3614032693434589,18.24998400000004,-0.7500479999998788,-0.7262749155838928,-0.7794597316936022,-0.7761566099684334,16.75001599999996,3.199999991920777e-05,-0.6085911195237543,-0.5510358576223053,-0.4725433771107863,13.5,-0.5,0.264003434687408,0.24127175116156138,0.47830577110925876,0.5,0.5,0.7026428034414526,0.7178009000165316,0.6905878740703542,-67.74998400000004,4.25001599999996,-0.13039968570977484,-0.07727377452232956,-0.049883677564535,4.5,-3.2499840000000404,-0.11856903228301909,-0.2788483211747519,-0.3960277771288524,23.5,0.2499840000000404,-0.6374738705713169,-0.6762448382332564,-0.6632301545485445,33.5,-3.2500159999999596,-0.341430834156419,-0.25608670508116965,-0.15551825078575887,11.0,5.75001599999996,0.4166404384812734,0.4010224834351629,0.5167178842616643,-19.0,-6.0,0.0923674580646428,0.2881813615997645,0.2731868162433031
2026-01-09,4.170259729984331,-1.170483409686529,32.5,-18.5,0.1548805432518392,0.14106048036635369,0.047174992857878545,0.1250239999999394,11.12502399999994,-0.2690094307827732,-0.2931487858551429,-0.267856428737147,28.6249600000001,10.37497600000006,-0.31076455970567074,-0.4838077669657877,-0.5282711628314898,21.50003199999992,4.75001599999996,-0.44691044573233446,-0.4510149570701699,-0.3965952327205567,7.499968000000081,-6.000031999999919,0.1735446596693296,0.17575262214821602,0.31100385467964675,-7.499968000000081,-7.999968000000081,0.4025594035668333,0.47888728707108635,0.5203792671069057,-55.87497600000006,11.87500799999998,-0.14572364057508846,-0.11750827721680251,-0.17923993071428035,5.0,0.5,-0.10719391460714045,-0.2762228319429463,-0.3131929376963897,35.12499200000002,11.62499200000002,-0.3748242993456405,-0.4809429229928139,-0.49420477399218765,31.24998400000004,-2.2500159999999596,-0.2989193693682658,-0.2354104157397167,-0.12188376930707866,7.125023999999939,-3.8749760000000606,0.4045826435700088,0.41187755285151384,0.48679452096937376,-28.75001599999996,-9.75001599999996,0.12282857430865503,0.2856906171691463,0.23526565061857363
2026-01-12,4.1860519012987725,1.5792171314441106,29.75001599999996,-2.7499840000000404,0.17458212300284467,0.1367914601373672,0.04163469673490188,5.25001599999996,5.12499200000002,-0.24056256668981427,-0.2503161247174427,-0.23646855131067376,31.99996800000008,3.37500799999998,-0.2791063773148027,-0.45395626994782307,-0.4988952465688451,18.50003199999992,-3.0,-0.41394005127284195,-0.43523323120271656,-0.38312725434439426,5.74998400000004,-1.7499840000000404,0.13155317538863473,0.13854848498630304,0.289877172114109,-6.0,1.4999680000000808,0.42951843296082665,0.4968315110066234,0.5179233720580259,-56.0,-0.1250239999999394,-0.10588243169061509,-0.12564172814447003,-0.16562333694903564,5.5,0.5,-0.1583444660229793,-0.27037601345769774,-0.2989346279688033,39.5,4.37500799999998,-0.3454344133505437,-0.4366715320994507,-0.48061901044821986,27.75001599999996,-3.499968000000081,-0.27709574613044236,-0.2659049380466253,-0.132491445454506,2.7499840000000404,-4.375039999999899,0.3218751253323002,0.3609466142516357,0.43730258544523504,-25.5,3.2500159999999596,0.12335729301546873,0.2883771629022104,0.2534073115127781
