date,price,ticker,vol,momentum,z,regime,position,ema_fast,ema_medium,ema_slow,atr
2024-06-17,110.0625,TY1 COMB Comdty,0.0645798416440114,-0.002972399150743099,-0.04602673334394487,neutral,0,109.43665493647951,109.32674265378898,109.87853900007156,0.38983915590272045
2024-06-18,110.484375,TY1 COMB Comdty,0.06471648449124086,-0.0023984198645597976,-0.03706041642117342,neutral,0,109.53643779967194,109.36469781268114,109.88855281825221,0.39411060178235774
2024-06-20,110.546875,TY1 COMB Comdty,0.06458079324405419,0.00028276544606242737,0.004378475888238814,neutral,0,109.6326699139889,109.40345772046209,109.8994341766282,0.3498958548780434
2024-06-21,110.5,TY1 COMB Comdty,0.06454441436727543,-0.0012710069199265428,-0.019691973850659867,neutral,0,109.71527277932329,109.43940992634856,109.90936088445254,0.3094930742276376
2024-06-24,110.53125,TY1 COMB Comdty,0.0643949691416677,-0.0031003382187148043,-0.048145658892919406,neutral,0,109.7929848955782,109.47520796155024,109.91964004338722,0.2723939976639526
2024-06-25,110.59375,TY1 COMB Comdty,0.06439189227149433,-0.0018333098293611405,-0.02847112834689483,neutral,0,109.86924823885647,109.51188147100761,109.93078235671966,0.24440813130875894
2024-06-26,110.0625,TY1 COMB Comdty,0.06307455979112972,0.0012793176972281106,0.02028262585525049,neutral,0,109.8876531684892,109.52993453753194,109.93295950784827,0.2826537138009244
2024-06-27,110.25,TY1 COMB Comdty,0.06304308516101755,0.004841925377385259,0.07680343316033088,neutral,0,109.92216239053785,109.55354324121942,109.93819984656153,0.26996655196080116
2024-06-28,109.984375,TY1 COMB Comdty,0.063235419176011,0.0017076988757649403,0.027005417185765622,neutral,0,109.92808740096281,109.56766887265483,109.93896307223821,0.26938767836602767
2024-07-01,109.171875,TY1 COMB Comdty,0.06472416056226996,-0.008654937570942156,-0.13372035258171322,neutral,0,109.85606717229969,109.55469202437106,109.92628393054834,0.3418026545838907
2024-07-02,109.46875,TY1 COMB Comdty,0.06440571914467727,-0.0017098888572242288,-0.02654871151090222,neutral,0,109.81917982255686,109.5518742530802,109.91872138624176,0.33581230063937195
2024-07-03,110.046875,TY1 COMB Comdty,0.0648767961546952,0.007150007150007243,0.11020900497241631,neutral,0,109.84086507755144,109.5681037857661,109.92083962779148,0.36812066055412235
2024-07-05,110.609375,TY1 COMB Comdty,0.0653319273267799,0.008835684765569285,0.13524298344015775,neutral,0,109.91405649873703,109.60224382557703,109.93222037774535,0.39403790581357273
2024-07-08,110.59375,TY1 COMB Comdty,0.059202960675975566,0.022093862815884435,0.37318847847503134,mod_long,1,109.97878921314302,109.63475222473843,109.94315475166692,0.3435828517050964
2024-07-09,110.40625,TY1 COMB Comdty,0.05930126742158499,0.021245844775256595,0.35826965761482776,mod_long,1,110.01949976427225,109.66004723376341,109.95080921858153,0.3227718048110836
2024-07-10,110.5,TY1 COMB Comdty,0.05839407544279466,0.016676250718803853,0.2855812099489549,mod_long,1,110.06526169148441,109.68758666872198,109.9598867521587,0.2922355641696058
2024-07-11,111.15625,TY1 COMB Comdty,0.05732689736620386,0.03026792179580018,0.5279881379668759,mod_long,1,110.16916533991446,109.73573956482944,109.97966135129658,0.34077082228032496
2024-07-12,111.1875,TY1 COMB Comdty,0.0570862783313165,0.03265128428384845,0.5719637930212828,mod_long,1,110.26614959325593,109.78333826762191,109.99962562648177,0.29950137930961496
2024-07-15,110.984375,TY1 COMB Comdty,0.05668419343703387,0.026148511990754075,0.46130165051744904,mod_long,1,110.33455201294585,109.82271652114251,110.01590247563084,0.28665119540166634
2024-07-16,111.328125,TY1 COMB Comdty,0.0561083599913004,0.03365733352676625,0.5998630780151981,mod_long,1,110.4291780117129,109.87207417618701,110.03759210413281,0.29426436934811084
2024-07-17,111.4375,TY1 COMB Comdty,0.05604754523619975,0.03272516652186508,0.583882244689794,mod_long,1,110.52520867726406,109.92339961303334,110.06073107761821,0.26961245343502943
2024-07-18,111.21875,TY1 COMB Comdty,0.05624858194952007,0.031145878603505706,0.5537184676310128,mod_long,1,110.59126023181034,109.96587011752405,110.07987188625263,0.2628307929770255
2024-07-19,110.828125,TY1 COMB Comdty,0.05675675225524502,0.025444556888824632,0.44830889502619914,mod_long,1,110.61381878116173,109.9941407694085,110.09223970631457,0.27987002058008875
2024-07-22,110.71875,TY1 COMB Comdty,0.05633801536342069,0.027701232777374907,0.49169699356077856,mod_long,1,110.6238122305749,110.01789844910002,110.10259524835897,0.2571373511694102
2024-07-23,110.875,TY1 COMB Comdty,0.05576496467206635,0.03274632513462383,0.5872204049118145,mod_long,1,110.64773487528205,110.04600013929345,110.11536226904725,0.2436857043468222
2024-07-24,110.671875,TY1 COMB Comdty,0.05588582428606102,0.02875816993464042,0.5145879174553617,mod_long,1,110.650033934779,110.06652062652974,110.12456082658366,0.2382776104339126
2024-07-25,110.796875,TY1 COMB Comdty,0.055551921778708484,0.02634245187436668,0.47419514988702,mod_long,1,110.66401879813338,110.09046667156154,110.13567345754923,0.22317392904272426
2024-07-26,111.203125,TY1 COMB Comdty,0.05485640872363436,0.03504944735311222,0.6389307679562242,mod_long,1,110.71536224593021,110.12694727249394,110.1533172846972,0.2475840718370277
2024-07-29,111.34375,TY1 COMB Comdty,0.053590795642435726,0.029917618152912162,0.5582603839757508,mod_long,1,110.77520869869876,110.16684244388757,110.17299385850387,0.23332286225875734
2024-07-30,111.5625,TY1 COMB Comdty,0.053545188871184035,0.02956020187454933,0.5520608386621547,mod_long,1,110.85018882263222,110.2126017080224,110.19596090216497,0.23137981395758972
2024-07-31,111.8125,TY1 COMB Comdty,0.05298258184206835,0.02712788861776949,0.5120152260347165,mod_long,1,110.94183750619105,110.26505738972658,110.22268055667465,0.23386250542991108
2024-08-01,112.734375,TY1 COMB Comdty,0.05533473264857247,0.03529918209212224,0.6379208934884569,mod_long,1,111.11255536274427,110.3460186228503,110.26419616730813,0.3255975047059229
2024-08-02,114.140625,TY1 COMB Comdty,0.06045857977985073,0.047011609574315605,0.7775837564411884,mod_long,1,111.40094294724481,110.47043194669126,110.32826937115428,0.4696845040784665
2024-08-05,114.078125,TY1 COMB Comdty,0.060299630618732544,0.048241206030150696,0.8000249012332125,mod_long,1,111.65591266655483,110.58871696483253,110.3902504559286,0.41539323686800433
